"","condition","grat_mean_value","grat_mean_difference","pa_mean_value","pa_mean_difference","na_mean_value","na_mean_difference","ls_mean_value","ls_mean_difference","Test","grat_effect_size","pa_effect_size","na_effect_size","ls_effect_size"
"1","events",4.66791562586733,-0.0940813741326672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","god.letter",5.23123382226057,0.46923682226057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","hk.list",5.42723004694836,0.665233046948357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","int.events",4.92383737120579,0.161840371205792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","letter",5.78658536585366,1.02458836585366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","list",5.31884057971014,0.556843579710145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","measure",4.76199740596628,4.05966277483572e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","sub",5.46006796941376,0.698070969413763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","text",5.79438405797101,1.03238705797101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","events",NA,NA,4.18781570913128,-0.165271290868721,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","god.letter",NA,NA,4.7438021282715,0.390715128271498,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","hk.list",NA,NA,4.81275890637945,0.459671906379453,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","int.events",NA,NA,4.45544416597048,0.102357165970481,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","letter",NA,NA,4.92166085946574,0.568573859465737,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","list",NA,NA,4.71160762211487,0.358520622114868,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","measure",NA,NA,4.3530869001297,-9.98702986976241e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","sub",NA,NA,4.77514868309261,0.422061683092608,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","text",NA,NA,5.00113224637681,0.648045246376811,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","events",NA,NA,NA,NA,3.17721343325007,0.200754433250069,NA,NA,NA,NA,NA,NA,NA
"20","god.letter",NA,NA,NA,NA,2.70024446361806,-0.276214536381939,NA,NA,NA,NA,NA,NA,NA
"21","hk.list",NA,NA,NA,NA,2.76367025683513,-0.212788743164871,NA,NA,NA,NA,NA,NA,NA
"22","int.events",NA,NA,NA,NA,3.01489835700362,0.0384393570036217,NA,NA,NA,NA,NA,NA,NA
"23","letter",NA,NA,NA,NA,2.62710511033682,-0.349353889663183,NA,NA,NA,NA,NA,NA,NA
"24","list",NA,NA,NA,NA,2.81863929146538,-0.157819708534622,NA,NA,NA,NA,NA,NA,NA
"25","measure",NA,NA,NA,NA,2.97645914396887,1.43968871046951e-07,NA,NA,NA,NA,NA,NA,NA
"26","sub",NA,NA,NA,NA,2.78391390540923,-0.192545094590768,NA,NA,NA,NA,NA,NA,NA
"27","text",NA,NA,NA,NA,2.64387077294686,-0.332588227053141,NA,NA,NA,NA,NA,NA,NA
"28","events",NA,NA,NA,NA,NA,NA,4.13172356369692,-0.0374594363030809,NA,NA,NA,NA,NA
"29","god.letter",NA,NA,NA,NA,NA,NA,4.37157031924072,0.202387319240724,NA,NA,NA,NA,NA
"30","hk.list",NA,NA,NA,NA,NA,NA,4.32016017674675,0.150977176746754,NA,NA,NA,NA,NA
"31","int.events",NA,NA,NA,NA,NA,NA,4.19473684210526,0.0255538421052632,NA,NA,NA,NA,NA
"32","letter",NA,NA,NA,NA,NA,NA,4.28867595818815,0.119492958188153,NA,NA,NA,NA,NA
"33","list",NA,NA,NA,NA,NA,NA,4.30885668276973,0.139673682769726,NA,NA,NA,NA,NA
"34","measure",NA,NA,NA,NA,NA,NA,4.16918287937743,-1.20622568822171e-07,NA,NA,NA,NA,NA
"35","sub",NA,NA,NA,NA,NA,NA,4.32880203908241,0.159619039082412,NA,NA,NA,NA,NA
"36","text",NA,NA,NA,NA,NA,NA,4.3024154589372,0.133232458937198,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,"list",0.389883608583199,0.258557868498608,-0.108221642060412,0.100007479732449
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,"letter",0.726442865457312,0.405079568373559,-0.241620793114799,0.0840363266470937
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,"text",0.730896907912225,0.461893183904236,-0.225606458371523,0.0940240276621512
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,"hk.list",0.470646052082696,0.33380531267177,-0.143928619550768,0.106479236145003
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sub",0.488637855162261,0.304938054234893,-0.130777833006719,0.114486598119887
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,"god.letter",0.309920898934,0.277441869654373,-0.189508067323701,0.144750118031827
