effect_size_column,language,effect_size,ci_lower,ci_upper,p_value,tau
envy_effect_size,all,-0.158055164,-0.241492351,-0.074617977,0.00020501,0
envy_effect_size,english,-0.212692511,-0.306861657,-0.118523364,9.56334108422947e-06,0
indebted_effect_size,all,0.153825834,0.070582107,0.237069562,0.000292547,0
indebted_effect_size,english,0.177873023,0.066380852,0.289365193,0.001766608,0
ls_effect_size,all,0.115600231,0.074495577,0.156704885,3.54610386364494e-08,0
ls_effect_size,english,0.135476348,0.071414036,0.19953866,3.40034183837331e-05,0
na_effect_size,all,-0.217908305,-0.296423177,-0.139393434,5.33891285872195e-08,0
na_effect_size,english,-0.283582631,-0.384211089,-0.182954174,3.32491722975385e-08,0
optimism_effect_size,all,0.241183546,0.178174257,0.304192835,6.27344339747966e-14,0
optimism_effect_size,english,0.27469887,0.18527212,0.36412562,1.73805319664374e-09,0
pa_effect_size,all,0.366152282,0.278274488,0.454030076,3.17726606356846e-16,0
pa_effect_size,english,0.435131083,0.327258175,0.543003991,2.65829949862757e-15,0
